id;consulta;resolucao;titulo;trecho;relevante
1;"Meu RNTRC está vencendo; como funciona a renovação do registro de transportador?";5990/2022;RESOLUÇÃO Nº 5.990, DE 20 DE SETEMBRO DE 2022 Institui o Registro Nacional do Agente Transportador Ferroviário de Cargas;RESOLUÇÃO Nº 5.990, DE 20 DE SETEMBRO DE 2022 Institui o Registro Nacional do Agente Transportador Ferroviário de Cargas e regulamenta a prestação do serviço de transporte ferroviário de cargas desvinculado da exploração de infraestrutura por Agente Transportador Ferroviário - ATF. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, considerando o disposto no art. 9º da Lei nº 14.273, de 23 de dezembro de 2021 , e no uso de suas atribuições conferidas pelo inciso VIII do art. 11 da Resolução nº 5.976, de 6 de abril de 2022 , fundamentada no Voto DGS - 101, de 20 de sete;
2;Qual regulamento rege as concessões de rodovias federais atualmente?;6000/2022;RESOLUÇÃO Nº 6.000, DE 1º DE DEZEMBRO DE 2022 Aprova a segunda norma do Regulamento das Concessões Rodoviárias, relativa;RESOLUÇÃO Nº 6.000, DE 1º DE DEZEMBRO DE 2022 Aprova a segunda norma do Regulamento das Concessões Rodoviárias, relativa a bens, obras e serviços, aplicável aos contratos de concessão de exploração de infraestrutura rodoviária sob competência da Agência Nacional de Transportes Terrestres. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições que lhe são conferidas pela Lei nº 10.233, de 5 de junho de 2001 , pelo Regimento Interno aprovado pela Resolução nº 5.976, de 7 de abril de 2022 , fundamentada no Voto DLL - 050, de 1º de dezembro de 2022 ,;
3;Como faço para tirar o registro que me habilita a transportar cargas pela ANTT?;6024/2023;RESOLUÇÃO Nº 6.024, DE 3 DE AGOSTO DE 2023 Estabelece as normas para o Vale-Pedágio obrigatório e institui os procedimen;RESOLUÇÃO Nº 6.024, DE 3 DE AGOSTO DE 2023 Estabelece as normas para o Vale-Pedágio obrigatório e institui os procedimentos de habilitação de empresas fornecedoras em âmbito nacional, os procedimentos de aprovação de modelos e sistemas operacionais e institui as infrações e suas respectivas penalidades. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DLA - 063, de 3 de agosto de 2023 , e no que consta do processo nº 50500.025441/2020-11, resolve: Art. 1º Estabelecer as normas para o Vale-Pedágio obrigatório e institui;
4;O vale-pedágio precisa mesmo ser pago à parte do frete, ou pode ser descontado do motorista?;6024/2023;RESOLUÇÃO Nº 6.024, DE 3 DE AGOSTO DE 2023 Estabelece as normas para o Vale-Pedágio obrigatório e institui os procedimen;RESOLUÇÃO Nº 6.024, DE 3 DE AGOSTO DE 2023 Estabelece as normas para o Vale-Pedágio obrigatório e institui os procedimentos de habilitação de empresas fornecedoras em âmbito nacional, os procedimentos de aprovação de modelos e sistemas operacionais e institui as infrações e suas respectivas penalidades. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DLA - 063, de 3 de agosto de 2023 , e no que consta do processo nº 50500.025441/2020-11, resolve: Art. 1º Estabelecer as normas para o Vale-Pedágio obrigatório e institui;
5;Quero saber as condições para participar do programa de regularização de débitos da ANTT.;5386/2017;RESOLUÇÃO Nº 5.386, DE 12 DE JULHO DE 2017 Estabelece as condições para implementação do Programa de Regularização de Dé;RESOLUÇÃO Nº 5.386, DE 12 DE JULHO DE 2017 Estabelece as condições para implementação do Programa de Regularização de Débitos não Tributários - PRD, instituído pela Lei nº 13.494, de 24 de outubro de 2017 . (Redação dada pela Resolução 5825/2018/DG/ANTT/MTPA ) Redações Anteriores A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DEB - 096, de 12 de julho de 2017, e no que consta do Processo nº 50500.360662/2017-20, resolve: Art. 1º Estabelecer as condições para implementação do Programa de Regularização de Débitos não T;
6;"Vou levar produtos químicos inflamáveis na estrada; que documentos e exigências preciso cumprir?";5831/2018;RESOLUÇÃO Nº 5.831, DE 23 DE OUTUBRO DE 2018 Regulamenta o Estabelecimento, a Revisão e a Apuração das Metas de Produção;"RESOLUÇÃO Nº 5.831, DE 23 DE OUTUBRO DE 2018 Regulamenta o Estabelecimento, a Revisão e a Apuração das Metas de Produção e das Metas de Segurança no âmbito das concessões ferroviárias. (Redação dada pela Resolução 5946/2021/DG/ANTT/MI ) Redações Anteriores Veja Também A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso da competência que lhe foi conferida pelo art. 20, II, ""a"" e pelo art. 24, IV da Lei nº 10.233, de 5 de junho de 2001, combinado com o disposto no art. 11, VIII do Regimento Interno da ANTT, aprovado mediante a Resolução nº 5.810, de 3 de maio de 2";
7;Quais são as regras para uma viagem internacional de ônibus com passageiros?;6024/2023;RESOLUÇÃO Nº 6.024, DE 3 DE AGOSTO DE 2023 Estabelece as normas para o Vale-Pedágio obrigatório e institui os procedimen;RESOLUÇÃO Nº 6.024, DE 3 DE AGOSTO DE 2023 Estabelece as normas para o Vale-Pedágio obrigatório e institui os procedimentos de habilitação de empresas fornecedoras em âmbito nacional, os procedimentos de aprovação de modelos e sistemas operacionais e institui as infrações e suas respectivas penalidades. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DLA - 063, de 3 de agosto de 2023 , e no que consta do processo nº 50500.025441/2020-11, resolve: Art. 1º Estabelecer as normas para o Vale-Pedágio obrigatório e institui;
8;"Meu RNTRC está vencendo; como funciona a renovação do registro de transportador?";5998/2022;RESOLUÇÃO Nº 5.998, DE 3 DE NOVEMBRO DE 2022 Atualiza o Regulamento para o Transporte Rodoviário de Produtos Perigosos, ;RESOLUÇÃO Nº 5.998, DE 3 DE NOVEMBRO DE 2022 Atualiza o Regulamento para o Transporte Rodoviário de Produtos Perigosos, aprova suas Instruções Complementares, e dá outras providências. Série Histórica A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, considerando o disposto no inciso XIV do art. 24 da Lei nº 10.233, de 5 de junho de 2001 , fundamentada no Voto DGS - 114, de 3 de novembro de 2022 , e no que consta do processo nº 50500.017488/2021-84, resolve: Art. 1º Atualizar o Regulamento para o Transporte Rodoviário de Produtos Perigosos ;
9;Como faço para tirar o registro que me habilita a transportar cargas pela ANTT?;5990/2022;RESOLUÇÃO Nº 5.990, DE 20 DE SETEMBRO DE 2022 Institui o Registro Nacional do Agente Transportador Ferroviário de Cargas;RESOLUÇÃO Nº 5.990, DE 20 DE SETEMBRO DE 2022 Institui o Registro Nacional do Agente Transportador Ferroviário de Cargas e regulamenta a prestação do serviço de transporte ferroviário de cargas desvinculado da exploração de infraestrutura por Agente Transportador Ferroviário - ATF. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, considerando o disposto no art. 9º da Lei nº 14.273, de 23 de dezembro de 2021 , e no uso de suas atribuições conferidas pelo inciso VIII do art. 11 da Resolução nº 5.976, de 6 de abril de 2022 , fundamentada no Voto DGS - 101, de 20 de sete;
10;A tabela de piso mínimo muda conforme o número de eixos do caminhão?;673/2004;RESOLUÇÃO Nº 673, DE 4 DE AGOSTO DE 2004 Dispõe sobre a regulamentação do Vale-Pedágio obrigatório e dá outras providênc;"RESOLUÇÃO Nº 673, DE 4 DE AGOSTO DE 2004 Dispõe sobre a regulamentação do Vale-Pedágio obrigatório e dá outras providências. Revogada pela Resolução 2885/2008/DG/ANTT/MT A Diretoria da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições e fundamentada nos termos do Relatório DNO - 339/2004, CONSIDERANDO a instituição do Vale-Pedágio obrigatório, nos termos da Lei nº 10.209, de 23 de março de 2001, alterada pela Lei nº 10.561, de 13 de novembro de 2002; CONSIDERANDO a competência atribuída a ANTT, nos termos do art. 6º da Lei nº 10.209, de 2001, para adoção das medidas";
11;Quero saber as condições para participar do programa de regularização de débitos da ANTT.;5830/2018;RESOLUÇÃO Nº 5.830, DE 10 DE OUTUBRO DE 2018 Dispõe sobre o parcelamento de débitos não inscritos em Dívida Ativa, oriun;RESOLUÇÃO Nº 5.830, DE 10 DE OUTUBRO DE 2018 Dispõe sobre o parcelamento de débitos não inscritos em Dívida Ativa, oriundos de multas aplicadas pela Agência Nacional de Transportes Terrestres - ANTT em razão do exercício do seu poder de polícia. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DEB - 294, de 3 de outubro de 2018, e no que consta do Processo nº 50500.615387/2017-97, resolve: Art. 1º Autorizar o parcelamento administrativo dos débitos não inscritos em Dívida Ativa, oriundos de multas aplicadas pela ANTT e;
12;O vale-pedágio precisa mesmo ser pago à parte do frete, ou pode ser descontado do motorista?;5830/2018;RESOLUÇÃO Nº 5.830, DE 10 DE OUTUBRO DE 2018 Dispõe sobre o parcelamento de débitos não inscritos em Dívida Ativa, oriun;RESOLUÇÃO Nº 5.830, DE 10 DE OUTUBRO DE 2018 Dispõe sobre o parcelamento de débitos não inscritos em Dívida Ativa, oriundos de multas aplicadas pela Agência Nacional de Transportes Terrestres - ANTT em razão do exercício do seu poder de polícia. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DEB - 294, de 3 de outubro de 2018, e no que consta do Processo nº 50500.615387/2017-97, resolve: Art. 1º Autorizar o parcelamento administrativo dos débitos não inscritos em Dívida Ativa, oriundos de multas aplicadas pela ANTT e;
13;Quem dentro da ANTT tem competência delegada para decidir sobre esses assuntos?;5232/2016;RESOLUÇÃO Nº 5.232, DE 14 DE DEZEMBRO DE 2016 Aprova as Instruções Complementares ao Regulamento Terrestre do Transporte;"RESOLUÇÃO Nº 5.232, DE 14 DE DEZEMBRO DE 2016 Aprova as Instruções Complementares ao Regulamento Terrestre do Transporte de Produtos Perigosos, e dá outras providências. Revogada pela Resolução 5947/2021/DG/ANTT/MI A Diretoria da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DSL - 211, de 9 de dezembro de 2016, no que consta dos Processos nos 50500.310609/2016-05 e 50500.056919/2015-80; CONSIDERANDO a Lei 10.233, de 5 de junho de 2001, que estabelece no inciso VII do artigo 22, que constitui esfera de atuação da ANTT o transporte de produto";
14;Que multas e penalidades a ANTT pode aplicar a quem transporta carga irregularmente?;4071/2013;RESOLUÇÃO Nº 4.071, DE 3 DE ABRIL DE 2013(*) Regulamenta as infrações sujeitas às penalidades de advertência e multa por;"RESOLUÇÃO Nº 4.071, DE 3 DE ABRIL DE 2013(*) Regulamenta as infrações sujeitas às penalidades de advertência e multa por inexecução contratual na exploração da infraestrutura rodoviária federal concedida. Revogada pela RESOLUÇÃO Nº 6.053, DE 31 DE OUTUBRO DE 2024 A Diretoria da Agência Nacional de Transportes Terrestres - ANTT, no uso das atribuições que lhe confere o art. 78-A da Lei nº 10.233, de 5 de junho de 2001 , bem como o disposto no art. 29, inciso II, da Lei nº 8.987, de 13 de fevereiro de 1995 ; no art. 24, incisos IV e VIII, art. 26, inciso VII, e no art. 78-F, § 1º da Lei nº 10.23";
15;Existe algum programa para eu regularizar débitos não tributários com a agência?;5386/2017;RESOLUÇÃO Nº 5.386, DE 12 DE JULHO DE 2017 Estabelece as condições para implementação do Programa de Regularização de Dé;RESOLUÇÃO Nº 5.386, DE 12 DE JULHO DE 2017 Estabelece as condições para implementação do Programa de Regularização de Débitos não Tributários - PRD, instituído pela Lei nº 13.494, de 24 de outubro de 2017 . (Redação dada pela Resolução 5825/2018/DG/ANTT/MTPA ) Redações Anteriores A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DEB - 096, de 12 de julho de 2017, e no que consta do Processo nº 50500.360662/2017-20, resolve: Art. 1º Estabelecer as condições para implementação do Programa de Regularização de Débitos não T;
16;Qual a metodologia oficial para definir o preço mínimo do frete rodoviário?;5867/2020;RESOLUÇÃO Nº 5.867, DE 14 DE JANEIRO DE 2020 (*) Estabelece as regras gerais, a metodologia e os coeficientes dos pisos ;RESOLUÇÃO Nº 5.867, DE 14 DE JANEIRO DE 2020 (*) Estabelece as regras gerais, a metodologia e os coeficientes dos pisos mínimos, referentes ao quilômetro rodado na realização do serviço de transporte rodoviário remunerado de cargas, por eixo carregado, instituído pela Política Nacional de Pisos Mínimos do Transporte Rodoviário de Cargas - PNPM-TRC. Veja Também A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições conferidas pelo inciso II do art. 20 da Lei nº 10.233, de 5 de junho de 2001, na Lei nº 13.703, de 8 de agosto de 2018, fundamentada n;
17;As novas normas do regulamento de concessões de 2023 e 2024 mudaram o quê?;6032/2023;RESOLUÇÃO Nº 6.032, DE 21 DE DEZEMBRO DE 2023 Aprova a terceira norma do Regulamento das Concessões Rodoviárias, relativ;RESOLUÇÃO Nº 6.032, DE 21 DE DEZEMBRO DE 2023 Aprova a terceira norma do Regulamento das Concessões Rodoviárias, relativa à gestão econômico-financeira dos contratos de concessão de exploração de infraestrutura rodoviária sob competência da Agência Nacional de Transportes Terrestres. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições que lhe são conferidas pela Lei nº 10.233, de 5 de junho de 2001 , pelo Regimento Interno aprovado pela Resolução nº 5.976, de 7 de abril de 2022 , fundamentada no Voto DLL - 117, de 21 de dezembro de 2023 , e no;
18;A tabela de piso mínimo muda conforme o número de eixos do caminhão?;5867/2020;RESOLUÇÃO Nº 5.867, DE 14 DE JANEIRO DE 2020 (*) Estabelece as regras gerais, a metodologia e os coeficientes dos pisos ;RESOLUÇÃO Nº 5.867, DE 14 DE JANEIRO DE 2020 (*) Estabelece as regras gerais, a metodologia e os coeficientes dos pisos mínimos, referentes ao quilômetro rodado na realização do serviço de transporte rodoviário remunerado de cargas, por eixo carregado, instituído pela Política Nacional de Pisos Mínimos do Transporte Rodoviário de Cargas - PNPM-TRC. Veja Também A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições conferidas pelo inciso II do art. 20 da Lei nº 10.233, de 5 de junho de 2001, na Lei nº 13.703, de 8 de agosto de 2018, fundamentada n;
19;Quais são as regras para uma viagem internacional de ônibus com passageiros?;5998/2022;RESOLUÇÃO Nº 5.998, DE 3 DE NOVEMBRO DE 2022 Atualiza o Regulamento para o Transporte Rodoviário de Produtos Perigosos, ;RESOLUÇÃO Nº 5.998, DE 3 DE NOVEMBRO DE 2022 Atualiza o Regulamento para o Transporte Rodoviário de Produtos Perigosos, aprova suas Instruções Complementares, e dá outras providências. Série Histórica A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, considerando o disposto no inciso XIV do art. 24 da Lei nº 10.233, de 5 de junho de 2001 , fundamentada no Voto DGS - 114, de 3 de novembro de 2022 , e no que consta do processo nº 50500.017488/2021-84, resolve: Art. 1º Atualizar o Regulamento para o Transporte Rodoviário de Produtos Perigosos ;
20;Como a ANTT reajusta a tarifa de pedágio cobrada pelas concessionárias?;5998/2022;RESOLUÇÃO Nº 5.998, DE 3 DE NOVEMBRO DE 2022 Atualiza o Regulamento para o Transporte Rodoviário de Produtos Perigosos, ;RESOLUÇÃO Nº 5.998, DE 3 DE NOVEMBRO DE 2022 Atualiza o Regulamento para o Transporte Rodoviário de Produtos Perigosos, aprova suas Instruções Complementares, e dá outras providências. Série Histórica A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, considerando o disposto no inciso XIV do art. 24 da Lei nº 10.233, de 5 de junho de 2001 , fundamentada no Voto DGS - 114, de 3 de novembro de 2022 , e no que consta do processo nº 50500.017488/2021-84, resolve: Art. 1º Atualizar o Regulamento para o Transporte Rodoviário de Produtos Perigosos ;
21;"Transporto cargas para o Mercosul; preciso de alguma habilitação internacional específica?";6038/2024;RESOLUÇÃO Nº 6.038, DE 8 DE FEVEREIRO DE 2024 Dispõe sobre o transporte rodoviário internacional de cargas e dá outras p;RESOLUÇÃO Nº 6.038, DE 8 DE FEVEREIRO DE 2024 Dispõe sobre o transporte rodoviário internacional de cargas e dá outras providências. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DGS - 010, de 8 de fevereiro de 2024 , e no que consta do processo nº 50500.088320/2021-53, resolve: CAPÍTULO I DAS DISPOSIÇÕES PRELIMINARES Art. 1º Estabelecer normas para o transporte rodoviário internacional de cargas nos termos dos Acordos Internacionais vigentes. § 1º A prestação de serviço de transporte rodoviário internacional de car;
22;Onde encontro a estrutura organizacional e as competências internas da ANTT?;6024/2023;RESOLUÇÃO Nº 6.024, DE 3 DE AGOSTO DE 2023 Estabelece as normas para o Vale-Pedágio obrigatório e institui os procedimen;RESOLUÇÃO Nº 6.024, DE 3 DE AGOSTO DE 2023 Estabelece as normas para o Vale-Pedágio obrigatório e institui os procedimentos de habilitação de empresas fornecedoras em âmbito nacional, os procedimentos de aprovação de modelos e sistemas operacionais e institui as infrações e suas respectivas penalidades. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DLA - 063, de 3 de agosto de 2023 , e no que consta do processo nº 50500.025441/2020-11, resolve: Art. 1º Estabelecer as normas para o Vale-Pedágio obrigatório e institui;
23;"Transporto cargas para o Mercosul; preciso de alguma habilitação internacional específica?";5232/2016;RESOLUÇÃO Nº 5.232, DE 14 DE DEZEMBRO DE 2016 Aprova as Instruções Complementares ao Regulamento Terrestre do Transporte;"RESOLUÇÃO Nº 5.232, DE 14 DE DEZEMBRO DE 2016 Aprova as Instruções Complementares ao Regulamento Terrestre do Transporte de Produtos Perigosos, e dá outras providências. Revogada pela Resolução 5947/2021/DG/ANTT/MI A Diretoria da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DSL - 211, de 9 de dezembro de 2016, no que consta dos Processos nos 50500.310609/2016-05 e 50500.056919/2015-80; CONSIDERANDO a Lei 10.233, de 5 de junho de 2001, que estabelece no inciso VII do artigo 22, que constitui esfera de atuação da ANTT o transporte de produto";
24;"Sou embarcador e contratei um caminhoneiro autônomo; preciso adiantar o pedágio da viagem?";5386/2017;RESOLUÇÃO Nº 5.386, DE 12 DE JULHO DE 2017 Estabelece as condições para implementação do Programa de Regularização de Dé;RESOLUÇÃO Nº 5.386, DE 12 DE JULHO DE 2017 Estabelece as condições para implementação do Programa de Regularização de Débitos não Tributários - PRD, instituído pela Lei nº 13.494, de 24 de outubro de 2017 . (Redação dada pela Resolução 5825/2018/DG/ANTT/MTPA ) Redações Anteriores A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DEB - 096, de 12 de julho de 2017, e no que consta do Processo nº 50500.360662/2017-20, resolve: Art. 1º Estabelecer as condições para implementação do Programa de Regularização de Débitos não T;
