id;consulta;resolucao;trecho;relevante
1;Qual regulamento rege as concessões de rodovias federais atualmente?;6000/2022;"Art. 28-A . A celebração de termo aditivo aos contratos de concessão para adesão ao Regulamento das Concessões Rodoviárias observará as seguintes diretrizes: I - terá natureza facultativa e não constituirá direito subjetivo da concessionária interessada; II - poderá ocorrer por provocação da ANTT ou mediante requerimento da concessionária; III - poderá ser promovida de forma individual ou em rodad";
2;Que multas e penalidades a ANTT pode aplicar a quem transporta carga irregularmente?;5867/2020;Art. 9º-K Independentemente da aplicação das penalidades pecuniárias previstas no art. 9º-J, a ANTT poderá aplicar, mediante decisão administrativa fundamentada, a penalidade de suspensão do direito de fazer novas contratações de transporte rodoviário de cargas ao contratante que descumprir reiteradamente as obrigações legais relativas ao piso mínimo de frete. (Incluído pela RESOLUÇÃO ANTT Nº 6.07;
3;"Preciso transportar explosivos; a carga tem que ter sinalização e rótulo de risco?";5232/2016;es Móveis de Bombeamento (UMB) com capacidade inferior a 1.000 litros, os rótulos de riscos podem ser substituídos por rótulos menores, em conformidade com o item 5.2.2.2.1.1.2. Os grupos de compatibilidade não podem ser indicados nos rótulos de risco dos explosivos se as Unidades Móveis de Bombeamento (UMB) estiverem transportando substâncias ou artigos que pertençam a mais de um grupo de compati;
4;"Tenho débitos com a ANTT que ainda não foram para a dívida ativa; consigo parcelar?";5830/2018;RESOLUÇÃO Nº 5.830, DE 10 DE OUTUBRO DE 2018 Dispõe sobre o parcelamento de débitos não inscritos em Dívida Ativa, oriundos de multas aplicadas pela Agência Nacional de Transportes Terrestres - ANTT em razão do exercício do seu poder de polícia. A Diretoria Colegiada da Agência Nacional de Transportes Terrestres - ANTT, no uso de suas atribuições, fundamentada no Voto DEB - 294, de 3 de outubro de;
5;O vale-pedágio precisa mesmo ser pago à parte do frete, ou pode ser descontado do motorista?;6024/2023;"Art. 2º Para os fins desta Resolução, empregam-se os seguintes conceitos e definições: I - categoria do veículo: classificação dos veículos de carga de forma padronizada, para efeito de cobrança da tarifa de pedágio, pelas concessionárias de rodovia, conforme contratos de concessão, através da contagem de eixos; II - concessionária de rodovia: empresa vencedora de processo licitatório, por prazo d";
6;Existe um valor mínimo que devo receber por um frete? Como esse piso é calculado?;5849/2019;Art. 9º Constituem infrações administrativas as seguintes condutas: I - o contratante que contratar o serviço de transporte rodoviário de carga abaixo do piso mínimo estabelecido pela ANTT: multa no valor de duas vezes a diferença entre o valor pago e o piso devido com base nesta Resolução, limitada ao mínimo de R$ 550,00 (quinhentos e cinquenta reais) e ao máximo de R$ 10.500,00 (dez mil e quinhe;
7;Como a ANTT reajusta a tarifa de pedágio cobrada pelas concessionárias?;6032/2023;Art. 55. A tarifa de pedágio terá seu valor definido pela ANTT, observado o disposto no contrato de concessão e no Regulamento das Concessões Rodoviárias. § 1º As alterações na tarifa de pedágio serão implementadas a zero hora da data de reajuste do contrato de concessão ou, extrapolada esta data, do terceiro dia subsequente à publicação da decisão da ANTT no Diário Oficial da União, conforme o ca;
8;"Sou embarcador e contratei um caminhoneiro autônomo; preciso adiantar o pedágio da viagem?";6024/2023;"Art. 2º Para os fins desta Resolução, empregam-se os seguintes conceitos e definições: I - categoria do veículo: classificação dos veículos de carga de forma padronizada, para efeito de cobrança da tarifa de pedágio, pelas concessionárias de rodovia, conforme contratos de concessão, através da contagem de eixos; II - concessionária de rodovia: empresa vencedora de processo licitatório, por prazo d";
9;"Quero abrir uma linha regular de ônibus entre dois estados; o que a regulação exige?";5840/2019;"Art. 4º Para fins de obtenção da Licença Originária o requerente deverá atender aos seguintes requisitos: I - ser Empresa ou Cooperativa constituída nos termos da legislação brasileira, tendo o transporte rodoviário de cargas dentre as atividades econômicas; II - estar regular no Registro Nacional de Transportadores Rodoviários de Cargas - RNTRC; III - não possuir multas impeditivas, junto à ANTT;";
10;"Vou mandar uma carga de caminhão para a Argentina; que regras da ANTT valem para essa viagem internacional?";5583/2017;Art. 2º A empresa transportadora que estiver suspensa ou com Licença Complementar vencida por um período superior a 180 (cento e oitenta) dias terá a sua frota de veículos excluída do sistema na ligação Brasil - Peru. Art. 3º A qualquer tempo a ANTT poderá solicitar que a empresa transportadora comprove a realização de, ao menos, uma viagem com mercadoria entre o Brasil e o Peru nos últimos 12 (do;
11;"Vou mandar uma carga de caminhão para a Argentina; que regras da ANTT valem para essa viagem internacional?";6038/2024;Art. 17. A qualquer tempo a ANTT poderá solicitar que o transportador comprove a realização de, ao menos, uma operação de prestação de serviço de transporte rodoviário internacional de cargas entre o Brasil e o Peru nos últimos 12 (doze) meses, a contar da data da solicitação, para cada veículo habilitado em sua frota. § 1º A comprovação de que trata o caput se dará mediante envio eletrônico, à AN;
12;Como faço para tirar o registro que me habilita a transportar cargas pela ANTT?;5982/2022;Art. 12. Comprovar-se-á a propriedade de veículo automotor de cargas e de implemento rodoviário com a apresentação do Certificado de Registro de Veículo no Registro Nacional de Veículos Automotores - RENAVAM ou em consulta a bancos de dados pela ANTT. Parágrafo único. Caso o transportador não seja o proprietário, a regularidade da posse do veículo automotor de cargas e de implemento rodoviário dev;
13;Quem dentro da ANTT tem competência delegada para decidir sobre esses assuntos?;5976/2022;"Art. 24. À Procuradoria Federal junto à ANTT, órgão de execução da Procuradoria-Geral Federal, vinculada à Advocacia-Geral da União, compete: I - prestar as atividades de consultoria e assessoramento jurídicos, no âmbito da ANTT; II - fixar a interpretação da Constituição, das leis, dos tratados e dos demais atos normativos, a ser uniformemente seguida na área de atuação da ANTT quando não houver ";
14;"Meu RNTRC está vencendo; como funciona a renovação do registro de transportador?";4799/2015;Art. 10. A solicitação de inscrição, atualização e recadastramento no RNTRC será efetuada, por meio de formulário eletrônico devidamente preenchido, pelo transportador ou por seu representante formalmente constituído e identificado, em local a ser indicado pela ANTT. § 1º Será concedido registro provisório no RNTRC, com validade de 30 dias, ao transportador cuja efetivação do cadastro definitivo d;
15;"Tenho débitos com a ANTT que ainda não foram para a dívida ativa; consigo parcelar?";5386/2017;"2 de julho de 2017 ; e V - Comprovantes dos créditos de mesma natureza que tenha junto à ANTT, que deseje sejam incluídos no cômputo da dívida consolidada, se for o caso. O (A) requerente declara estar ciente de que a adesão ao PRD importa: a)em confissão irrevogável e irretratável dos débitos em nome do devedor e por ele indicados para compor o PRD; b)em dispensa da notificação prevista no art. 2";
16;Como faço para tirar o registro que me habilita a transportar cargas pela ANTT?;5990/2022;Art. 3º A prestação do serviço de transporte ferroviário de cargas desvinculado da exploração da infraestrutura ferroviária, para o transporte de carga proveniente de demanda própria ou de terceiros, se dará por meio de Agente Transportador Ferroviário - ATF e depende de inscrição no RENAFER-C. § 1º Não haverá limite para o número de inscrições no RENAFER-C. § 2º A prestação do serviço de transpor;
17;"Preciso transportar explosivos; a carga tem que ter sinalização e rótulo de risco?";5581/2017;são opcionais. Todas as características devem ter proporção aproximada conforme mostra a imagem. (...) CAPÍTULO 5.3 (...) Nota 2: Serão aceitos no transporte terrestre de produtos perigosos equipamentos de transporte com origem ou destino aos portos ou aeroportos que portem a sinalização visivelmente afixada nas duas laterais e nas duas extremidades, atendendo ao estabelecido pela Organização Marí;
18;Existe um valor mínimo que devo receber por um frete? Como esse piso é calculado?;5849/2019;Art. 5º Os pisos mínimos de frete devem ser calculados por meio dos coeficientes de deslocamento (CCD) e dos coeficientes de carga e descarga (CC) apresentados no Anexo II. §1º Para o caso de operações de Transporte Rodoviário de Carga Lotação, calcula-se o valor do piso mínimo de frete pela multiplicação da distância (d) pelo coeficiente de deslocamento (CCD), somado ao coeficiente de carga e des;
19;Quem dentro da ANTT tem competência delegada para decidir sobre esses assuntos?;5976/2022;"Art. 11. À Diretoria Colegiada compete exercer as atribuições e cumprir os deveres estabelecidos na Lei nº 10.233, de 2001 , analisar, discutir e decidir, em instância administrativa final, as matérias de competência da ANTT, bem como: I - deliberar sobre o Plano Estratégico, a Agenda Regulatória, o Plano de Gestão Anual e a Agenda de Avaliação de Resultado Regulatório; (Redação dada pela Resoluçã";
20;Como a ANTT reajusta a tarifa de pedágio cobrada pelas concessionárias?;6000/2022;Art. 189. A autoridade que determinar a restrição contínua de tráfego deverá comunicar aos demais agentes de trânsito e transporte relacionados com a via acerca da publicação da restrição, com as razões que fundamentaram o pedido. Art. 190. A concessionária deveraì implementar plano de comunicação amplo para os usuários da rodovia, mediante campanhas de publicidade, sinalização vertical e outras m;
21;"Quero abrir uma linha regular de ônibus entre dois estados; o que a regulação exige?";2493/2007;Art. 3º Comprovada a Regularidade Fiscal, a situação da concessionária será considerada regular, nos termos do caput do art.1º, até o dia 31 de março do ano subseqüente, sem prejuízo de eventual fiscalização. Parágrafo único. A concessionária que tiver sua inadimplência caracterizada nos termos do § 4º do art. 2º deverá comprovar a regularidade fiscal a cada apresentação de pleitos perante a ANTT,;
22;"Meu RNTRC está vencendo; como funciona a renovação do registro de transportador?";5867/2020;Art. 9º-H Nos casos de reincidência na penalidade de suspensão do registro no RNTRC, em razão da contratação de serviço de transporte por valor inferior ao piso mínimo de frete, será aplicada a penalidade de cancelamento do registro. (Incluído pela RESOLUÇÃO ANTT Nº 6.077, DE 24 DE MARÇO DE 2026 ) § 1º Para os fins do caput, considera-se reincidência a aplicação de nova penalidade de suspensão adm;
23;Que multas e penalidades a ANTT pode aplicar a quem transporta carga irregularmente?;5976/2022;"cessos instaurados para apuração de irregularidades no transporte de cargas e passageiros que tenham como multa pecuniária a penalidade final; XVII - aplicar as penalidades cabíveis quanto às multas de trânsito de competência da ANTT; XVIII - acompanhar a execução orçamentária e financeira dos convênios e termos de execução descentralizada firmados pela ANTT; e (Acrescentado pela Resolução 6017/20";
24;O vale-pedágio precisa mesmo ser pago à parte do frete, ou pode ser descontado do motorista?;673/2004;Art. 2º O Vale-Pedágio obrigatório de que trata esta Resolução somente poderá ser comercializado para utilização por veículo de transporte rodoviário de carga, independentemente de tipo, porte ou categoria. Parágrafo único. O transportador rodoviário que transitar sem carga, por disposição contratual, terá direito à antecipação do Vale-Pedágio obrigatório, em todo o percurso contratado. Art. 3º Na;
25;"Vou levar produtos químicos inflamáveis na estrada; que documentos e exigências preciso cumprir?";5232/2016;Redações Anteriores e) Necessitem de atendimento emergencial pelo Corpo de Bombeiros, Defesa Civil, órgãos policiais, empresas especializados, outros. 1.1.4.2 A exigência estabelecida no item 1.1.4.1 aplica-se ao transporte interestadual, intermunicipal ou municipal de produtos perigosos e o seu descumprimento sujeita o infrator às penalidades previstas no Regulamento para o Transporte Rodoviário ;
26;Existe algum programa para eu regularizar débitos não tributários com a agência?;4348/2014;Art. 11, V: ( ) Sim ( ) Não Para sociedade empresária constituída há mais de 01 (um) ano ou em caso de requerimento de recadastramento: Certidão Negativa de Falência e Recuperação Judicial ou Extrajudicial, na forma prevista no Art. 11, I: ( ) Sim ( ) Não Balanço Patrimonial e Demonstrativo de Resultado Contábil do último exercício, na forma prevista do Art. 11, III: ( ) Sim ( ) Não Termo de Compr;
27;"Sou embarcador e contratei um caminhoneiro autônomo; preciso adiantar o pedágio da viagem?";673/2004;Art. 5º É responsabilidade do embarcador adquirir e repassar antecipadamente o Vale-Pedágio obrigatório para o transportador rodoviário de carga, para cada veículo que vier a ser contratado. § 1º Considera-se embarcador o proprietário originário da carga, contratante do serviço de transporte rodoviário de carga. § 2º Equipara-se, ainda, ao embarcador: I - o contratante do serviço de transporte rod;
28;Qual regulamento rege as concessões de rodovias federais atualmente?;6032/2023;"Art. 183. Para os contratos de concessão celebrados antes da entrada em vigor deste Regulamento das Concessões Rodoviárias, a concessionária deverá adotar as seguintes providências, em até 6 (seis) meses da entrada em vigor desta Resolução: I - submeter as informações relativas à gestão econômico-financeira pelo sistema informatizado indicado pela ANTT, nos termos do art. 2º; II - publicar a polít";
29;Existe algum programa para eu regularizar débitos não tributários com a agência?;5825/2018;RESOLUÇÃO Nº 5.825, DE 27 DE JUNHO DE 2018 Dispõe sobre as alterações na Resolução nº 5.386, de 12 de julho de 2017, advindas da conversão da Medida provisória nº 780, de 19 de maio de 2017, na Lei nº 13.494, de 24 de outubro de 2017, que prevê o Programa de Regularização de Débitos - PRD nas autarquias e fundações públicas federais A Diretoria Colegiada da Agência Nacional de Transportes Terrestr;
30;"Vou levar produtos químicos inflamáveis na estrada; que documentos e exigências preciso cumprir?";5581/2017;ncia das providências necessárias para evitar descargas eletrostáticas perigosas dos líquidos inflamáveis citados no item anterior. 4.1.2.1.2 A certificação será exigida no prazo de 12 meses, contados a partir da exigência de cumprimento desta Resolução. 4.1.2.1.3 Até que se exija a certificação do item anterior, o fabricante, o envasador, o embarcador e o transportador são responsáveis solidariam;
